Respondent ID,Score,What is your grade level? ,"Have you received any formal instruction related to personal finance in school (e.g., budgeting, credit, loans, investing)?  ","If ""yes"" or ""unsure"", please describe briefly (e.g., what grades, topics, depth, etc)","  In your opinion, how important is it for high school students (ages 14-18) to learn about personal finance?  ","How confident do you feel in your ability to make basic personal finance decisions (e.g., budgeting, saving, understanding credit)?  ",1. What’s the most important first step in setting up a long-term financial plan? ,2. What’s a good example of using automation to manage your personal finances? ,3. What is the most responsible first move for building your credit? ,"4. When you can’t pay off your credit cards in full, what’s the smartest strategy to reduce your debt long-term? ","5. If you invest $100 a month starting at age 21 and earn 7% annually, what would your account balance be at age 91? ",6. Which of these statements accurately reflect the risks associated with investing? ,7.  Which metric best helps you compare the cost vs. benefit of college borrowing? ,8. What’s the most efficient method to eliminate student loan debt? ,9. What consequences are likely to occur if you default on your student loans? ,"10. When reviewing a loan application, lenders usually examine the following core areas:",11. Your monthly loan payments are based on:,"12. If inflation is 3%, what does that mean for your personal finances?",Is there anything else you'd like to share about your experience with and/or opinions on financial literacy education?  
0001,3 / 12,Junior (11th),No,,5,1,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,"A. $141,598.","E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"A. Credit score, available savings, educational background, and job history","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",E. Not sure,
0002,7 / 12,Junior (11th),No,,4,4,"A. Define your life, career, and financial goals in writing",D. Avoid automating anything—manual tracking is more accurate,A. Take out a student loan or credit card and make all payments on time.,C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"E. A, C, and D.",B. Dollar-cost averaging for student debt,C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living,
0003,4 / 12,Junior (11th),No,,4,2,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,"B. Create a plan with a working budget, emergency fund, and repayment strategy.",B. Pay off the smallest balance first to gain momentum.,C. Over $1.5 million.,"E. A, C, and D.",D. All of the above,B. Target the smallest outstanding balances first to knock them out,E. All of the Above,"C. Home equity, cash flow, asset reports, and debt-to-liquidity ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration","A. Stocks, bonds, and mutual funds will automatically adjust by 3% to match inflation",
0004,7 / 12,Junior (11th),No,,5,4,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living,
0005,2 / 12,Junior (11th),No,,5,2,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",A. Take out a student loan or credit card and make all payments on time.,E. Not sure,"B. Between $150,000–$225,000, depending on circumstances.",C. Investments in real estate are not liquid and cannot be sold quickly.,D. All of the above,D. Max out payments on the loan with the highest overall balance,E. All of the Above,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",E. Not sure,
0006,5 / 12,Junior (11th),No,,5,3,"A. Define your life, career, and financial goals in writing",D. Avoid automating anything—manual tracking is more accurate,D. Both A and B,E. Not sure,D. None of the above.,"E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",E. Not sure,
0007,8 / 12,Junior (11th),No,,5,3,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",C. Take a cash advance on a credit card and put the money in savings where it will earn interest.,C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"E. A, C, and D.",B. Dollar-cost averaging for student debt,C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living,
0008,9 / 12,Junior (11th),No,,4,3,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform","B. Create a plan with a working budget, emergency fund, and repayment strategy.",C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"E. A, C, and D.",C. Return on investment (ROI),C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"A. Credit score, available savings, educational background, and job history","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living,
0009,6 / 12,Sophomore (10th),No,,5,4,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,C. Over $1.5 million.,"E. A, C, and D.",D. All of the above,A. Make slightly higher payments than the minimum on all your loans,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living,
0010,8 / 12,Sophomore (10th),No,,5,5,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",A. Take out a student loan or credit card and make all payments on time.,C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"E. A, C, and D.",C. Return on investment (ROI),C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"D. Liquidity, credit history, asset report scoring, and debt load","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living,No
